ID,Target
ID_6L67PAA x m1,1048.6222463191268
ID_6L67PAA x m2,1123.390309798986
ID_6L67PAA x m3,1079.7961068973839
ID_6L67PAA x m4,1086.4336900416063
ID_6L67PAA x m5,1087.9802804441026
ID_6L67PAA x m6,681.5531325834174
ID_VJ80SX2 x m1,1012.1828448030277
ID_VJ80SX2 x m2,1051.45680208886
ID_VJ80SX2 x m3,1036.8047990777395
ID_VJ80SX2 x m4,1026.4925140485457
ID_VJ80SX2 x m5,1041.1301520689888
ID_VJ80SX2 x m6,628.4082712562698
ID_7OU9HLK x m1,421.97063088675486
ID_7OU9HLK x m2,438.4082946955384
ID_7OU9HLK x m3,468.4430576122588
ID_7OU9HLK x m4,477.02367871951304
ID_7OU9HLK x m5,520.7286199939366
ID_7OU9HLK x m6,654.5394577306023
ID_WVWTPGK x m1,567.0907474842045
ID_WVWTPGK x m2,498.11261882749636
ID_WVWTPGK x m3,412.45964235709926
ID_WVWTPGK x m4,525.8161852063024
ID_WVWTPGK x m5,538.2663912897636
ID_WVWTPGK x m6,481.04790762164487
ID_04DSDQS x m1,748.0716623462505
ID_04DSDQS x m2,658.4439500223377
ID_04DSDQS x m3,632.1470065954201
ID_04DSDQS x m4,657.0762587337201
ID_04DSDQS x m5,745.0028966115445
ID_04DSDQS x m6,512.9737262671703
ID_4BNXJX1 x m1,622.5767867476661
ID_4BNXJX1 x m2,573.9758800323501
ID_4BNXJX1 x m3,464.137597821521
ID_4BNXJX1 x m4,596.1068995629087
ID_4BNXJX1 x m5,571.7363516383042
ID_4BNXJX1 x m6,547.1200275335364
ID_6YZEOBD x m1,1044.4143933185665
ID_6YZEOBD x m2,1078.406168609989
ID_6YZEOBD x m3,1051.7418385815445
ID_6YZEOBD x m4,1039.4128102617108
ID_6YZEOBD x m5,1061.2182805169607
ID_6YZEOBD x m6,581.2831924984415
ID_7AKUMTZ x m1,932.8688902352885
ID_7AKUMTZ x m2,844.8440719858157
ID_7AKUMTZ x m3,826.4788954688505
ID_7AKUMTZ x m4,866.241842574853
ID_7AKUMTZ x m5,927.3965024273108
ID_7AKUMTZ x m6,607.2567724479302
ID_22PA8JG x m1,1070.336174468135
ID_22PA8JG x m2,1101.8661608815953
ID_22PA8JG x m3,1077.7604095808283
ID_22PA8JG x m4,1061.9925174319415
ID_22PA8JG x m5,1064.4927607908187
ID_22PA8JG x m6,584.5520305284379
ID_TM3XAXK x m1,473.04525920145556
ID_TM3XAXK x m2,471.17252137224546
ID_TM3XAXK x m3,481.7474426021412
ID_TM3XAXK x m4,508.02774681095593
ID_TM3XAXK x m5,525.1134429843634
ID_TM3XAXK x m6,604.9295679147417
ID_ZLW8XIB x m1,694.03596643442
ID_ZLW8XIB x m2,727.9414192977933
ID_ZLW8XIB x m3,730.4217554196099
ID_ZLW8XIB x m4,766.4669072512157
ID_ZLW8XIB x m5,757.4432277666307
ID_ZLW8XIB x m6,638.3502563851606
ID_1BNGN87 x m1,1089.7018428189213
ID_1BNGN87 x m2,1119.3701488740855
ID_1BNGN87 x m3,1107.4656099296317
ID_1BNGN87 x m4,1113.3846896762034
ID_1BNGN87 x m5,1111.96007678029
ID_1BNGN87 x m6,692.6780094745887
